height_over_sea_level,fall,net,fall_1,flow,power_of_hydroelectrical_turbine
594,59.94,58.92,5.5,2692.87,1583438258.718
603,68.94,67.92,5.5,3237.11,2189262024.954
629,94.04,94.365,4.5,3558.33,3282674714.8919997
592,57.99,57.165,5.0,2327.54,1324095377.526
603,68.79,67.14,7.0,4063.35,2742070074.1650004
614,78.94,78.92,5.5,3838.09,2972222269.3259997
617,81.59,79.84,9.0,6098.9,4881546752.31
625,90.04,90.365,4.5,3432.48,3031883497.152
623,89.21,88.935,3.0,2042.36,1787371558.2359996
620,85.1,85.55,4.0,2841.89,2372497870.5899997
603,68.64,66.19,8.5,4572.62,3079012087.008
626,90.94,90.92,5.5,4384.97,3911925575.3580003
630,94.74,93.84,7.5,6297.76,5853134365.344
603,69.04,68.365,4.5,2589.43,1753775365.032
592,57.94,56.92,5.5,2569.39,1460419179.2459998
602,67.74,65.84,7.5,4192.01,2785713890.094
605,70.89,69.665,6.0,3692.94,2568184587.8459997
626,92.21,91.935,3.0,2081.66,1883028210.9659996
604,69.59,66.84,9.0,4591.21,3134317601.2590003
629,94.16,94.765,3.5,2590.7,2393054460.72
612,76.89,76.665,6.0,4102.62,3094568932.1579995
602,67.99,67.165,5.0,2865.92,1911516766.8479998
630,95.1,95.55,4.0,3090.96,2883652403.7599998
599,64.69,62.54,8.0,4096.06,2599396130.934
617,83.21,82.935,3.0,1938.47,1582353870.1469998
605,70.64,68.19,8.5,4801.54,3327363506.736
621,86.04,86.365,4.5,3299.93,2785313836.332
601,66.84,65.415,6.5,3670.99,2407069611.396
599,64.79,63.14,7.0,3743.56,2379368926.044
597,62.89,61.665,6.0,3128.97,1930420857.573
610,76.21,75.935,3.0,1776.96,1328491012.896
608,72.59,70.84,9.0,5153.46,3669819578.334
607,71.64,70.19,8.5,5016.03,3525207698.052
604,69.89,68.665,6.0,3618.87,2481172906.383
614,78.64,77.19,8.5,5632.13,4344953998.392
612,76.69,75.54,8.0,5283.22,3974719091.058
605,71.1,70.55,4.0,2337.68,1630510760.8799996
621,85.59,83.84,9.0,6451.24,5416705605.996
607,71.69,70.54,8.0,4806.83,3380542114.8869996
612,76.84,76.415,6.5,4450.58,3354848984.232
610,75.04,75.365,4.5,2893.53,2130050118.6720002
